Generic,Generic::VM::Server,properties,properties.name,properties.image,properties.instance_type,properties.security_groups,properties.availability_zone,properties.networks.network,properties.networks.network,properties.ssh_key,properties.user_data,properties.tags
OpenStack,OS::Nova::Server,properties,properties.name,properties.image,properties.flavor,properties.security_groups,properties.availability_zone,properties.networks.network,properties.networks.network,properties.key_name,properties.user_data,properties.tags
AWS,AWS::EC2::Instance,Properties,-,Properties.ImageId,Properties.InstanceType,Properties.SecurityGroupIds,Properties.AvailabilityZone,Properties.SubnetId,Properties.NetworkInterfaces,Properties.KeyName,Properties.UserData,Properties.Tags
Azure,Microsoft.Compute/virtualMachines,properties,name,properties.storageProfile,properties.hardwareProfile.vmSize,-,zones,properties.networkProfile.networkIterfaces.id,properties.networkProfile.networkIterfaces.id,properties.OSProfile.linuxConfiguration.ssh.publicKeys.path,properties.OSProfile.CustomData,tags
