Generic,label,type,description,default,min_length,max_length,min_value,max_value,allowed_values,allowed_pattern
AWS,-,Type,Description,Default,MinLength,MaxLength,MinValue,MaxValue,AllowedValues,AllowedPattern
OpenStack,label,type,description,default,length,length,range,range,allowed_values,allowed_pattern
Azure,-,type,metadata.description,defaultValue,maxLength,minLength,minValue,maxValue,allowedValues,-
